Country,Year,GDP growth (annual %),Labor force,Gross capital formation (% of GDP),Industry (% of GDP),Industry (% of employment),Manufacturing (% of GDP),Manufacturing (% of employment),Services (% of GDP),Services (% of employment),Agriculture (% of GDP),Agriculture (% of employment),Trade (% of GDP),Broad money (% of GDP),Political stability
Kenya,2019,5.114158857678007,22775099.0,19.34183437397774,16.9305452274709,15.00087,7.90461593672111,6.853954127502328,55.959862965675875,51.41153862438714,20.861163811068607,33.58758682839442,31.759466725377617,38.070483758951276,-1.10175132751465
Kenya,2020,-0.27276632743881635,23230574.0,19.65158977029548,17.400287632278648,15.28766,7.5998383584988245,6.955776258163125,53.97743551838672,51.07442697243339,22.702726160445057,33.637911506178085,27.23634936589308,41.20258090640462,-1.00235593318939
Kenya,2021,7.590489473334671,24116304.0,20.391238130901915,17.15243577679519,15.72709,7.3633013631410655,6.944817983598731,55.12144421750461,51.23909529344181,21.47707509572517,33.03381645569175,30.68928192361907,38.98878245968992,-1.08966493606567
Rwanda,1991,-2.5143796527326714,2438025.0,14.021749968517305,20.940049661736396,2.564579,16.139912822432674,1.314299106483481,46.92724339534495,8.169966159407224,32.132706942918645,89.26545459289483,25.37197378306373,14.002440461519965,
Rwanda,1992,5.872725237590771,2482499.0,15.634096042437307,18.703438165118424,2.522073,12.106047567617557,1.3017786633518573,48.05894676441003,8.512814419420883,33.23761507047154,88.96506653992397,23.831447033071377,13.861461387815574,
Rwanda,1993,-8.108691876939844,2546801.0,16.747020875704965,18.334828557838033,2.463528,11.479883290464347,1.2913329351675127,47.93027884981821,8.429414254663468,33.734892592343755,89.1070127884379,25.679007006985806,13.581287776414966,
Rwanda,1994,-50.248067104517794,2094466.0,9.982509017046059,21.170084549124688,2.408623,17.24969857735496,1.2875075299978833,29.07116933892187,7.839501147815893,49.75874611195344,89.75187639406718,71.0956283073375,22.42756312640926,
Rwanda,1995,35.224078305263674,1698315.0,13.409132990084943,15.971186732246764,2.352494,10.220202984169424,1.2718386502457066,40.02836380762428,7.549697265540225,44.00044946012896,90.09780857245694,30.972173149486405,18.589942536937617,
Rwanda,1996,12.745695762903807,2040819.0,14.370426373067197,18.08581431184811,2.354417,11.544864432439812,1.2630377054638986,34.72489346875516,7.828877041019681,47.18929221939673,89.81665079600671,32.23006582076592,16.14489069003262,-1.8453323841095
Rwanda,1997,13.84975248641534,2375153.0,13.809779436211661,18.610066125946105,2.384893,12.036539400034437,1.2538442323499643,35.42898161223801,8.1738206762028,45.96095226181588,89.44128658976052,33.46746051001822,15.828801594757788,
